edunum	position	chars	words	zwords	parentnum	dist	zdist	children	zchildren
15	0.18072289156626506	42	6	-6.36156295830937	17	-2	-4.837318880112502	1	-3.6042519776648767
19	0.2289156626506024	198	39	24.753295868135922	17	2	1.5610471286418828	2	-0.25145944030220124
20	0.24096385542168675	103	22	8.724429199967135	19	1	-0.038544373546713286	3	3.101333097060474
25	0.30120481927710846	95	16	3.0671821406134456	23	2	1.5610471286418828	2	-0.25145944030220124
23	0.27710843373493976	81	17	4.010056650505727	20	3	3.160638630830479	2	-0.25145944030220124
27	0.3253012048192771	34	5	-7.304437468201651	23	4	4.760230133019075	1	-3.6042519776648767
29	0.3493975903614458	73	12	-0.7043158989556806	17	12	17.556962150527845	5	9.806918171785826
31	0.37349397590361444	20	3	-9.190186487986214	29	2	1.5610471286418828	2	-0.25145944030220124
37	0.4457831325301205	3	1	-11.075935507770778	29	8	11.15859614177346	2	-0.25145944030220124
47	0.5662650602409639	89	15	2.124307630721164	17	30	46.349609189922575	9	23.21808832123653
40	0.4819277108433735	129	24	10.610178219751697	47	-7	-12.835276391055483	1	-3.6042519776648767
41	0.4939759036144578	23	5	-7.304437468201651	40	1	-0.038544373546713286	1	-3.6042519776648767
44	0.5301204819277109	112	18	4.952931160398008	47	-3	-6.4369103823010985	1	-3.6042519776648767
45	0.5421686746987951	85	17	4.010056650505727	44	1	-0.038544373546713286	1	-3.6042519776648767
52	0.6265060240963856	121	19	5.89580567029029	47	5	6.359821635207671	1	-3.6042519776648767
50	0.6024096385542169	145	27	13.438801749428542	52	-2	-4.837318880112502	1	-3.6042519776648767
53	0.6385542168674698	74	12	-0.7043158989556806	47	6	7.959413137396267	1	-3.6042519776648767
57	0.6867469879518072	41	10	-2.5900649187402434	47	10	14.357779146150651	4	6.45412563442315
55	0.6626506024096386	81	15	2.124307630721164	57	-2	-4.837318880112502	1	-3.6042519776648767
64	0.7710843373493976	55	10	-2.5900649187402434	57	7	9.559004639584863	6	13.1597107091485
60	0.7228915662650602	109	16	3.0671821406134456	64	-4	-8.036501884489695	2	-0.25145944030220124
65	0.7831325301204819	35	7	-5.418688448417088	64	1	-0.038544373546713286	1	-3.6042519776648767
66	0.7951807228915663	24	5	-7.304437468201651	65	1	-0.038544373546713286	1	-3.6042519776648767
72	0.8674698795180723	50	13	0.23855861093660097	69	3	3.160638630830479	2	-0.25145944030220124
69	0.8313253012048193	114	24	10.610178219751697	57	12	17.556962150527845	1	-3.6042519776648767
74	0.891566265060241	64	14	1.1814331208288824	57	17	25.554919661470823	3	3.101333097060474
77	0.927710843373494	143	28	14.381676259320823	74	3	3.160638630830479	2	-0.25145944030220124
79	0.9518072289156626	30	8	-4.475813938524807	77	2	1.5610471286418828	3	3.101333097060474
83	1.0	5	2	-10.133060997878495	79	4	4.760230133019075	1	-3.6042519776648767
81	0.9759036144578314	47	10	-2.5900649187402434	83	-2	-4.837318880112502	1	-3.6042519776648767
3	0.17647058823529413	71	13	-3.04595999228897	0	0	-2.786932057166471	9	5.810848255358982
7	0.4117647058823529	103	16	-2.0103335949107204	3	4	1.9508524400165292	1	-1.2632278815997786
9	0.5294117647058824	178	34	4.203424789358778	3	6	4.319744688608029	1	-1.2632278815997786
10	0.5882352941176471	168	29	2.477380793728362	9	1	-1.6024859328707206	1	-1.2632278815997786
14	0.8235294117647058	158	28	2.132171994602279	3	11	10.24197531008678	3	0.5052911526399116
15	0.8823529411764706	235	47	8.69113917799786	14	1	-1.6024859328707206	1	-1.2632278815997786
4	0.09090909090909091	92	18	2.2792479917341755	0	0	-3.1736365882057362	12	15.490208677919618
7	0.1590909090909091	108	16	0.621613088654775	4	3	-0.6800649831869436	1	-2.3415431722436635
10	0.22727272727272727	56	9	-5.180109072123126	4	6	1.813506621831849	1	-2.3415431722436635
